Estado,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CDMX2000,12.7, 14.4, 16.2, 18.0, 17.6, 17.1, 17.1, 16.7, 16.6, 16.2, 14.8, 12.8
EDOMEX2000,11.4, 12.8, 14.1, 15.9, 15.8, 15.6, 15.2, 15.1, 14.9, 13.8, 12.8, 11.1
CDMX2010,13.9, 15.6, 17.7, 19.5, 21.1, 19.7, 18.1, 18.5, 17.8, 16.4, 15.2, 13.4 
EDOMEX2010,10.6, 12.3, 14.4, 16.2, 18.1, 16.6, 15.5, 15.3, 14.6, 13.1, 12.3, 11.3
CDMX2020,15.6, 18.1, 19.4, 20.7, 19.9, 19.8, 19.6, 19.0,18.5, 16.9, 16.1, 15.5
EDOMEX2020,11.8, 14.0,16.3, 17.6, 16.8, 16.8, 16.6, 16.0, 15.6, 14.0, 13.2, 12.8
